iter	Passed	Remaining
429	1367	1813
430	1369	1808
431	1371	1803
432	1373	1798
433	1374	1793
434	1376	1788
435	1378	1783
436	1379	1777
437	1381	1772
438	1383	1767
439	1384	1762
440	1386	1757
441	1388	1752
442	1390	1747
443	1391	1742
444	1393	1737
445	1394	1732
446	1396	1727
447	1398	1723
448	1400	1718
449	1402	1714
450	1403	1709
451	1405	1704
452	1407	1699
453	1409	1695
454	1410	1690
455	1412	1684
456	1414	1680
457	1416	1676
458	1418	1671
459	1420	1667
460	1422	1662
461	1423	1657
462	1425	1652
463	1426	1648
464	1428	1643
465	1430	1639
466	1432	1634
467	1433	1629
468	1435	1625
469	1437	1620
470	1438	1615
471	1440	1611
472	1442	1606
473	1443	1602
474	1445	1597
475	1447	1593
476	1450	1590
477	1452	1585
478	1454	1581
479	1456	1577
480	1458	1573
481	1459	1568
482	1461	1564
483	1463	1560
484	1464	1555
485	1466	1550
486	1469	1547
487	1470	1543
488	1472	1538
489	1476	1536
490	1477	1531
491	1479	1527
492	1482	1524
493	1483	1519
494	1485	1515
495	1488	1512
496	1490	1508
497	1495	1507
498	1500	1506
499	1502	1502
500	1504	1498
501	1508	1495
502	1509	1491
503	1511	1487
504	1514	1484
505	1516	1480
506	1518	1476
507	1521	1473
508	1523	1469
509	1527	1467
510	1529	1463
511	1531	1459
512	1533	1455
513	1535	1452
514	1537	1448
515	1539	1444
516	1541	1440
517	1543	1436
518	1545	1432
519	1547	1428
520	1549	1424
521	1551	1421
522	1555	1418
523	1557	1414
524	1559	1411
525	1561	1407
526	1563	1403
527	1565	1399
528	1566	1395
529	1568	1390
530	1570	1386
531	1571	1382
532	1573	1378
533	1575	1375
534	1577	1371
535	1581	1368
536	1584	1365
537	1587	1363
538	1589	1359
539	1591	1355
540	1593	1352
541	1595	1348
542	1596	1343
543	1598	1340
544	1600	1336
545	1603	1332
546	1605	1329
547	1609	1327
548	1612	1324
549	1615	1321
550	1617	1318
551	1620	1315
552	1622	1311
553	1623	1307
554	1626	1304
555	1633	1304
556	1635	1300
557	1637	1297
558	1643	1296
559	1644	1292
560	1647	1289
561	1649	1285
562	1650	1281
563	1653	1277
564	1655	1274
565	1657	1271
566	1661	1268
567	1662	1264
568	1664	1260
569	1666	1257
570	1667	1252
571	1669	1249
572	1671	1245
573	1673	1242
574	1675	1238
575	1676	1234
576	1678	1230
577	1680	1226
578	1682	1223
579	1683	1219
580	1685	1215
581	1687	1211
582	1689	1208
583	1690	1204
584	1692	1200
585	1694	1197
586	1695	1193
587	1697	1189
588	1699	1185
589	1701	1182
590	1702	1178
591	1704	1174
592	1706	1170
593	1707	1167
594	1710	1163
595	1712	1160
596	1714	1157
597	1716	1153
598	1722	1153
599	1724	1149
600	1726	1146
601	1728	1142
602	1729	1138
603	1732	1135
604	1740	1136
605	1742	1132
606	1744	1129
607	1748	1127
608	1749	1123
609	1752	1120
610	1753	1116
611	1755	1113
612	1757	1109
613	1760	1106
614	1762	1103
615	1765	1100
616	1767	1096
617	1768	1093
618	1770	1089
619	1772	1086
620	1783	1088
621	1785	1085
622	1790	1083
623	1793	1080
624	1796	1077
625	1798	1074
626	1802	1072
627	1804	1068
628	1807	1066
629	1809	1062
630	1812	1059
631	1814	1056
632	1815	1052
633	1827	1054
634	1832	1053
635	1834	1050
636	1837	1046
637	1839	1043
638	1841	1040
639	1842	1036
640	1844	1032
641	1845	1029
642	1847	1025
643	1849	1022
644	1851	1018
645	1853	1015
646	1855	1012
647	1856	1008
648	1858	1005
649	1863	1003
650	1869	1002
651	1872	999
652	1874	996
653	1876	992
654	1878	989
655	1880	986
656	1882	982
657	1884	979
658	1885	975
659	1887	972
660	1888	968
661	1891	965
662	1893	962
663	1895	959
664	1898	956
665	1900	953
666	1902	949
667	1904	946
668	1906	943
669	1907	939
670	1910	936
671	1915	934
672	1917	931
673	1918	928
674	1920	924
675	1921	921
676	1923	917
677	1925	914
678	1926	910
679	1927	907
680	1929	903
681	1931	900
682	1932	896
683	1934	893
684	1935	890
685	1937	886
686	1938	883
687	1940	879
688	1941	876
689	1943	872
690	1944	869
691	1945	866
692	1947	862
693	1948	859
694	1950	855
695	1951	852
696	1952	848
697	1954	845
698	1955	842
699	1957	838
700	1958	835
701	1960	832
702	1962	829
703	1964	825
704	1966	822
705	1970	820
706	1973	817
707	1976	815
708	1978	811
709	1980	808
710	1982	805
711	1984	802
712	1986	799
713	1988	796
714	1990	793
715	1992	790
716	1994	787
717	1996	783
718	1997	780
719	1998	777
720	2001	774
721	2003	771
722	2006	768
723	2008	765
724	2010	762
725	2012	759
726	2014	756
727	2016	753
728	2019	750
729	2021	747
730	2023	744
731	2025	741
732	2027	738
733	2029	735
734	2030	732
735	2032	729
736	2034	726
737	2036	722
738	2038	719
739	2039	716
740	2042	713
741	2044	710
742	2046	707
743	2048	704
744	2049	701
745	2050	698
746	2052	695
747	2055	692
748	2056	689
749	2058	686
750	2060	683
751	2062	680
752	2064	677
753	2065	673
754	2067	671
755	2069	667
756	2070	664
757	2072	661
758	2074	658
759	2075	655
760	2077	652
761	2078	649
762	2080	646
763	2082	643
764	2083	640
765	2085	637
766	2087	634
767	2088	630
768	2089	627
769	2090	624
770	2092	621
771	2093	618
772	2095	615
773	2096	612
774	2098	609
775	2099	606
776	2101	603
777	2102	599
778	2104	596
779	2106	594
780	2107	590
781	2109	588
782	2110	584
783	2111	581
784	2114	579
785	2115	576
786	2117	572
787	2118	570
788	2120	566
789	2121	563
790	2123	560
791	2124	558
792	2126	555
793	2127	552
794	2129	549
795	2131	546
796	2132	543
797	2134	540
798	2136	537
799	2138	534
800	2140	531
801	2141	528
802	2143	525
803	2145	523
804	2147	520
805	2149	517
806	2150	514
807	2152	511
808	2154	508
809	2155	505
810	2157	502
811	2159	499
812	2161	497
813	2162	494
814	2164	491
815	2165	488
816	2167	485
817	2169	482
818	2170	479
819	2172	476
820	2174	474
821	2175	471
822	2177	468
823	2179	465
824	2181	462
825	2183	459
826	2184	457
827	2186	454
828	2188	451
829	2190	448
830	2191	445
831	2193	442
832	2195	440
833	2197	437
834	2199	434
835	2201	431
836	2203	429
837	2205	426
838	2207	423
839	2209	420
840	2211	418
841	2213	415
842	2215	412
843	2217	409
844	2219	407
845	2220	404
846	2221	401
847	2224	398
848	2225	395
849	2227	393
850	2230	390
851	2231	387
852	2233	384
853	2235	382
854	2237	379
855	2239	376
856	2241	373
857	2243	371
858	2245	368
859	2248	366
860	2251	363
861	2254	360
862	2256	358
863	2258	355
864	2260	352
865	2263	350
866	2265	347
867	2267	344
868	2269	342
869	2271	339
870	2272	336
871	2274	333
872	2276	331
873	2277	328
874	2279	325
875	2281	322
876	2282	320
877	2284	317
878	2286	314
879	2287	311
880	2289	309
881	2291	306
882	2293	303
883	2295	301
884	2297	298
885	2299	295
886	2301	293
887	2303	290
888	2304	287
889	2306	285
890	2308	282
891	2309	279
892	2311	276
893	2313	274
894	2314	271
895	2316	268
896	2317	266
897	2319	263
898	2320	260
899	2322	258
900	2324	255
901	2326	252
902	2327	250
903	2329	247
904	2330	244
905	2332	241
906	2333	239
907	2335	236
908	2337	234
909	2339	231
910	2340	228
911	2342	225
912	2343	223
913	2344	220
914	2345	217
915	2347	215
916	2348	212
917	2350	209
918	2351	207
919	2353	204
920	2354	201
921	2356	199
922	2357	196
923	2359	194
924	2360	191
925	2361	188
926	2363	186
927	2364	183
928	2365	180
929	2367	178
930	2368	175
931	2370	172
932	2371	170
933	2373	167
934	2374	165
935	2375	162
936	2377	159
937	2378	157
938	2379	154
939	2381	152
940	2382	149
941	2383	146
942	2385	144
943	2386	141
944	2388	139
945	2389	136
946	2391	133
947	2392	131
948	2394	128
949	2395	126
950	2396	123
951	2398	120
952	2399	118
953	2401	115
954	2402	113
955	2403	110
956	2404	108
957	2406	105
958	2407	102
959	2408	100
960	2410	97
961	2411	95
962	2412	92
963	2414	90
964	2415	87
965	2416	85
966	2417	82
967	2419	79
968	2421	77
969	2422	74
970	2424	72
971	2425	69
972	2426	67
973	2428	64
974	2429	62
975	2430	59
976	2432	57
977	2433	54
978	2434	52
979	2435	49
980	2436	47
981	2438	44
982	2439	42
983	2440	39
984	2442	37
985	2443	34
986	2444	32
987	2445	29
988	2446	27
989	2448	24
990	2449	22
991	2450	19
992	2451	17
993	2453	14
994	2454	12
995	2455	9
996	2457	7
997	2458	4
998	2460	2
999	2461	0
