iter	RMSE
0	0.3307733188
1	0.3261081293
2	0.31955632373	0.3113830981
4	0.3058882474
5	0.3003775021
6	0.2951140138
7	0.2904737712
8	0.2857667499
9	0.2814756547
10	0.2776743754
11	0.2733835531
12	0.2692740751
13	0.2655841606
14	0.262675298
15	0.2593012832
16	0.2561199716
17	0.2529920586
18	0.250138092
19	0.2473967637
20	0.2454237397
21	0.243023876
22	0.2409441436
23	0.2387574308
24	0.2367232093
25	0.2347478198
26	0.2328963478
27	0.2311937648
28	0.2296075677
29	0.2280346324
30	0.2266462203
31	0.2252294432
32	0.224114645
33	0.2229669818
34	0.2220566205
35	0.2209308862
36	0.2197763038
37	0.2188861076
38	0.2179678677
39	0.217058121
40	0.2161736891
41	0.215445019
42	0.2147850761
43	0.2139754987
44	0.2133568225
45	0.2127447638
46	0.2122107136
47	0.2116548058
48	0.2110341733
49	0.2104397182
50	0.2101072394
51	0.2096975552
52	0.209302909
53	0.208931041
54	0.2085087179
55	0.2080453411
56	0.2078419127
57	0.2075814078
58	0.2072177721
59	0.206856859
60	0.2064782643
61	0.2062062517
62	0.2057364385
63	0.2055767462
64	0.2053168141
65	0.2051521619
66	0.20498843
67	0.204748581
68	0.2044764301
69	0.2042455348
70	0.2040844163
71	0.2037079566
72	0.2036211302
73	0.2033681585
74	0.2030821144
75	0.2027795511
76	0.2023599681
77	0.2021397229
78	0.2020686987
79	0.2017134552
80	0.2013562253
81	0.2011440515
82	0.2006446146
83	0.2003682251
84	0.2001198382
85	0.1998481409
86	0.1998071013
87	0.1995894972
88	0.1994002418
89	0.199300855
90	0.1991623092
91	0.1989214229
92	0.1984253219
93	0.198291169
94	0.1981166165
95	0.197854951
96	0.1978380646
97	0.1976157769
98	0.1974305862
99	0.1971688397
100	0.1969805329
101	0.196699694
102	0.1964129815
103	0.1961027852
104	0.1959430558
105	0.1955239466
106	0.1953004143
107	0.195168572
108	0.1950442645
109	0.1949357456
110	0.1947364322
111	0.1945023724
112	0.1944105917
113	0.1942693328
114	0.1941195746
115	0.1938657073
116	0.1937077473
117	0.1935408662
118	0.1934402576
119	0.1932789481
120	0.1930702888
121	0.1929046433
122	0.192583877
123	0.1923902404
124	0.1921739468
125	0.1920090625
126	0.1919033578
127	0.191627775
128	0.1912390699
129	0.1908740162
130	0.1907434298
131	0.1903561052
132	0.1900506949
133	0.1898231517
134	0.1896211383
135	0.1893652063
136	0.189168266
137	0.1889793311
138	0.1887276713
139	0.1884061429
140	0.1881688533
141	0.1878893577
142	0.1874521168
143	0.1873498307
144	0.1871791274
145	0.1869678709
146	0.1867425074
147	0.1862875341
148	0.1860134179
149	0.1858742589
150	0.1856014837
151	0.1853746748
152	0.1851778314
153	0.1847783511
154	0.1845972947
155	0.1843408175
156	0.1840968702
157	0.1839948045
158	0.1837146609
159	0.1835750688
160	0.1832404478
161	0.1830768207
162	0.1827726705
163	0.1825870618
164	0.1824113084
165	0.1821446413
166	0.1819624964
167	0.1817934915
168	0.1815382742
169	0.1812111789
170	0.1810126677
171	0.1808498423
172	0.1806678445
173	0.1804836627
174	0.1801909545
175	0.1799840686
176	0.1797295675
177	0.1794560105
178	0.179212337
179	0.179097083
180	0.1788681486
181	0.1786599891
182	0.1785184995
183	0.1784377388
184	0.1782671885
185	0.1778920754
186	0.177653815
187	0.1775157437
188	0.1773785462
189	0.176955074
190	0.1768072376
191	0.1767141517
192	0.1764400734
193	0.1762203392
194	0.1760515335
195	0.1758156929
196	0.1755731455
197	0.1753470727
198	0.175106091
199	0.1745051642
200	0.1743467116
201	0.1742468018
202	0.1741381485
203	0.174017531
204	0.1739402231
205	0.173824188
206	0.1735864141
207	0.1734582913
208	0.173223077
209	0.1730044605
210	0.1726883054
211	0.1724044616
212	0.1721218312
213	0.1719370336
214	0.1717922097
215	0.1715924631
216	0.1714791005
217	0.1713179285
218	0.1709369186
219	0.170698948
220	0.1705048441
221	0.1703523366
222	0.1700700234
223	0.169886368
224	0.1697569814
225	0.1696751225
226	0.1693769198
227	0.169110673
228	0.1689208156
229	0.1687297094
230	0.1684544412
231	0.1683287007
232	0.1681274303
233	0.1678557441
234	0.1675533292
235	0.1673694445
236	0.1671860221
237	0.1670250585
238	0.1668010051
239	0.1665702187
240	0.1664585311
241	0.166283424
242	0.1660777563
243	0.1660060779
244	0.1659028198
245	0.1657345569
246	0.1656349886
247	0.165503645
248	0.1653169321
249	0.1650264616
250	0.1649039956
251	0.1645662733
252	0.1644168284
253	0.1643327699
254	0.1642464647
255	0.1639390765
256	0.1638452297
257	0.1636891597
258	0.163533676
259	0.1634759613
260	0.1633602424
261	0.16317531
262	0.1628608974
263	0.1626789367
264	0.1625420111
265	0.1623710902
266	0.1621866979
267	0.1620816278
268	0.1619495606
269	0.1617920328
270	0.1616943588
271	0.1615501037
272	0.1614608771
273	0.1612014703
274	0.1610726452
275	0.1609816832
276	0.160796334
277	0.1605774425
278	0.160322756
279	0.1601613808
280	0.1600758774
281	0.1599444747
282	0.1597624481
283	0.159685471
284	0.1596047716
285	0.1593900776
286	0.1592282816
287	0.1590552112
288	0.1588428996
289	0.1586877041
290	0.1586170875
291	0.1584165768
292	0.1582393906
293	0.1580273766
294	0.157885055
295	0.1577744918
296	0.1575927721
297	0.1574026917
298	0.1572348532
299	0.1570991987
300	0.1569243998
301	0.1567819543
302	0.1567079222
303	0.1566044589
304	0.1563998443
305	0.1562365561
306	0.1561720095
307	0.1559279749
308	0.1557658838
309	0.1556264307
310	0.1554738845
311	0.155216621
312	0.1550820327
313	0.1548379024
314	0.1547484285
315	0.154588519
316	0.1543518018
317	0.1542001422
318	0.154099968
319	0.153799346
320	0.1536428762
321	0.1535050258
322	0.1533759259
323	0.1532860935
324	0.153115599
325	0.1529495975
326	0.1527836764
327	0.1526369012
328	0.1525386457
329	0.152313784
330	0.1521314152
331	0.1519419638
332	0.1517809697
333	0.1515660852
334	0.1514469993
335	0.1512442307
336	0.1510318157
337	0.1506790869
338	0.1505196915
339	0.1504169013
340	0.1502563746
341	0.1501296348
342	0.1499925786
343	0.1499060668
344	0.1498175376
345	0.1496070727
346	0.1495442902
347	0.1493565918
348	0.1492729346
349	0.1491050985
350	0.1489829699
351	0.1487694105
352	0.148591504
353	0.1484658679
354	0.1482911335
355	0.1482156833
356	0.1480505228
357	0.1478669332
358	0.1477607261
359	0.147667228
360	0.1474248855
361	0.1473034168
362	0.1471931614
363	0.1470969277
364	0.1469937582
365	0.1468576167
366	0.1467551552
367	0.1466483139
368	0.1465393755
369	0.1462893831
370	0.1461286786
371	0.1459483301
372	0.145834046
373	0.1457239942
374	0.1455859245
375	0.1453802932
376	0.1452717091
377	0.1451529257
378	0.1450014181
379	0.144892299
380	0.1447405172
381	0.1446443857
382	0.1444998336
383	0.1444076872
384	0.1442063218
385	0.1440624139
386	0.1439256684
387	0.1438207901
388	0.1436431047
389	0.1435304793
390	0.1434588325
391	0.143350961
392	0.1431210818
393	0.1429091837
394	0.142820822
395	0.1426375486
396	0.1425571835
397	0.1425036661
398	0.1423933968
399	0.1422486933
400	0.1421053998
401	0.141955009
402	0.1418175359
403	0.1417021505
404	0.1415696819
405	0.14132877
406	0.1412427403
407	0.1411450372
408	0.141052166
409	0.1409151481
410	0.1408565546
411	0.1407902157
412	0.1405923782
413	0.1405338963
414	0.1403979881
415	0.1402533058
416	0.1401486644
417	0.1400332394
418	0.1399608914
419	0.1398619076
420	0.139740794
421	0.139635257
422	0.1393991692
423	0.1393069768
424	0.139145009
425	0.1390671372
426	0.1389336039
427	0.1387960501
428	0.1387337746
429	0.1386564988
430	0.1385343417
431	0.1384545619
432	0.1383773344
433	0.1382553675
434	0.138108721
435	0.1379384144
436	0.1378460077
437	0.1377389848
438	0.137595721
439	0.137477031
440	0.1373743961
441	0.137259896
442	0.1371602625
443	0.1370500967
444	0.1368474401
445	0.1367247741
446	0.13662841
447	0.1365243756
448	0.1364035942
449	0.1362921618
450	0.1361630775
451	0.1360634652
452	0.1360217168
453	0.1359400395
